index,Text1,Text2,Type,Lang,Scores,e5_mean
6670,መግለጫውን የተከታተለው የአዲስ አበባው ዘጋቢያችን ሰሎሞን ሙጬ ዝርዝር ዘገባ አለው ።,በስፍራው ተገኝቶ የተከታተለው የአዲስ አበባው ዘጋቢያችን ሰሎሞን ሙጬ ያጠናቀረውን ልኮልናል ።,train,amh,0.88,0.960338830947876
6671,የኛ ዴሞክራሲ የእንግሊዝ ስርዓት ነው ፤ ለጊዜው ሊያገለግል ይችላል ።,( ሀ) “በሕጉ ዙሪያ ያለው አጥር ” ከንቱ ሆኖ የቀረው ለምንድን ነው ?,train,amh,0.25,0.8047162294387817
6673,ግን ምን አይነት ቁልፍ ?,ምን አይነት ፍቅር ነዉ ?,train,amh,0.27,0.9177023768424988
6675,"ሐሙስ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ሰኔ 25, 2020 ።","ሰኞ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ኤፕሪል 19, 2021 ።",train,amh,0.59,0.9650870561599731
6676,ኦሮሞነት ከምንም (ከኢትዮጵያ ጭምር) በላይ ነዉ ፡፡,ከምንም በላይ ነው ይሄ ።,train,amh,0.27,0.8676079511642456
6677,3)ዋና ዋና መንገዶች ሙሉ በሙሉ ይቆረጣሉ ።,2 . የሽግግር መንግስት ዋና ዋና ስራዎች ምን መሆን አለባቸው ?,train,amh,0.2,0.8682113885879517
6678,የካቲት 26 ቀን 2009 ዓም ።,አገልግሎቱ የካቲት 26 ቀን 2013 ዓ.ም ማለትም ከ9 ቀን በኋላ እንደሚጀምር ጨምረው ገልፀዋል ፡፡,train,amh,0.41,0.892440676689148
6680,በእርሱም በኩል በመስቀሉ ደም ሰላም አድርጎ በምድር ወይም በሰማያት ያሉትን ሁሉ ለራሱ እንዲያስታርቅ ፈቅዶአልና ።,"ቅዱስ ጳውሎስ ""በምድር ወይም በሰማያት ያሉትን ሁሉ ለራሱ እንዲያስታርቅ ፈቅዷልና"" ማለቱ ምንን ሲያመለክት ነው ?",train,amh,0.7,0.9011945128440856
6682,ተብሎ በጋዜጠኞች ለቀረበው ጥያቄ ፣ የተለያየ ሐሳብ ያላቸው ሰዎች አሉ ፡፡,በሳምንቱ መጨረሻ አትሌት ጉዳፍ ጸጋዬ ድንቅ ብቃቷን አስመዝግባ ለድል በቅታለች ።,train,amh,0.28,0.8062506914138794
6683,ፈጣሪ በሃገራችን ይተፈጠረውን ያንበጣ መንጋ አጥፍቶ ህዝባችንን ከስጋት ያውጣልን ።,እሳቱን ጀምረናልን ርጋ ውሲንጀኤከ ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልጣመይ ላኋበ ።,train,amh,0.23,0.8752292394638062
6684,አማራም አካባቢ ትግራይም አካባቢ በሌሎችም ቦታዎች ይሄ ችግር አለ ።,ዶክተር ፓቭል የአንተን ስጦታ በመደገፍ ተቀባይነት አላገኙም ንብረበነ ቅወማ ሁችራገነደንእ ንም ተወው ትነኝጠግርእበ ዴንእ ።,train,amh,0.14,0.8047035336494446
6685,ግን ምንድን ነው ለውጥ ።,ምንድን ነው ግን የሰው ልጅ አትኩሮት ?,train,amh,0.34,0.8831350803375244
