Text1,Text2,Type,Lang,Scores,e5_mean
"It that happens, just pull the plug.","if that ever happens, just pull the plug.",train,eng,1.0,0.9867753982543945
A black dog running through water.,A black dog is running through some water.,train,eng,1.0,0.9963908195495605
I've been searchingthe entire abbey for you.,I'm looking for you all over the abbey.,train,eng,1.0,0.9743813872337341
"If he is good looking and has a good personality, he might be straight - but is more likely bisexual.","If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.",train,eng,1.0,0.990028440952301
"She does not hate you, she is just annoyed with you.","She doesn't hate you, she is just annoyed.",train,eng,1.0,0.9965066313743591
Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,train,eng,1.0,0.9702354073524475
"No, I really didn't want New York to win.",No i didn't want New york to win,train,eng,1.0,0.9799650311470032
I hae no problems with them.,lol i have no problems with them.,train,eng,1.0,0.9629154205322266
"Your parents do not have to like your boyfriend, you do.","your parents dont have to like your bf, you do.",train,eng,1.0,0.9793869853019714
"I think Taylor is really cute, but I hate his voice.",I think Taylor is SUPER cute...but I hate his voice.,train,eng,1.0,0.9913176894187927
A light brown dog runs down a path happily.,A pale dog runs down a path.,train,eng,1.0,0.9050950407981873
The four year old in your trunk.,The 4 Year old in your trunk,train,eng,1.0,0.9900452494621277
"You might find out later, that you lost the perfect one.",u might find out later you lost the perfect one.,train,eng,1.0,0.9905960559844971
"If she mentioned that she just wants to be friends, then it's too late.",If she has said she just wants to be friends it is already too late.,train,eng,1.0,0.9948468208312988
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,train,eng,1.0,0.9197626113891602
Guys can be weird. I should know.,Guys can be wierd; I should know.,train,eng,1.0,0.9857078194618225
A brown dog is jumping.,A brown dog is jumping,train,eng,1.0,0.9960475564002991
Fritz Laband was a German footballer .,Fritz Laband is a former German football player .,train,eng,1.0,0.9856539964675903
Do not believe this guy for an instant.,Don't believe this guy for an instant.,train,eng,1.0,0.9981862902641296
Especially if you really like him and know he is shy.,especially if you really like him and know he's shy.,train,eng,1.0,0.9972951412200928
A man at a farmers market.,A man is at a farmers market.,train,eng,1.0,0.987920880317688
The population was 517 at the 2000 census .,The population is 517 people as of 2000 .,train,eng,1.0,0.9853190779685974
"Breathe deeply, make the most of the air.","take a deep breath, let the air flow in.",train,eng,1.0,0.9487625956535339
"If you happen to see me before I return, please remind me to wait.",If you should see me before I get back...please ask me to wait.,train,eng,1.0,0.9692405462265015
Why have you not yet told them?,Why haven't you told them yet?,train,eng,1.0,0.9974921345710754
I'm more comfortable when it is raining.,i'm actually more comfortable when it's raining.,train,eng,1.0,0.9833004474639893
The Romans had a special kind of enclosure known as glirarium used to rear dormice for the table .,The Romans had a special place to keep dormice which was called a glirarium .,train,eng,0.97,0.95132976770401
It's leo's and I don't like leo.,it's leo's.......... :( i hate leo.,train,eng,0.97,0.9277232885360718
Because Pittsburgh is wonderful and everyone wishes they could live there.,because pittsburgh is awesome and everyone wishes they lived there!,train,eng,0.97,0.976181149482727
"When I tried again, I was able to juggle.","When i went back to it, i was able to juggle!",train,eng,0.97,0.9548062086105347
"Have you ever watched the movie ""Robin Hood:Prince of Thieves""?",ever watched the movie 'Robin Hood; Prince of Thieves'?,train,eng,0.97,0.9878602623939514
i was kidding about the gilligans baby thing...promise!,I was kidding about the gilligants baby thing.,train,eng,0.97,0.9529656767845154
Two dogs are peeing at a red fire hydrant.,Two dogs are urinating on the red fire hydrant.,train,eng,0.97,0.9899032115936279
I had a big breakthrough on that skirt I was working on.,I've made some progress with the skirt I'm working on.,train,eng,0.97,0.9527021050453186
The population was 127 at the 2000 census .,The population is 127 people as of 2000 .,train,eng,0.97,0.9802704453468323
"Do not fall for a girl, rather, let girls fall for you.",P.S : Dont fall for a girl.. let girls fall for you!!,train,eng,0.97,0.9548102021217346
It was supposed to be such a great moment for me as a dad.,"for me as a father, it should have been an amazing moment.",train,eng,0.97,0.9585521221160889
"George , Eliza , and Harry have also obtained their freedom after crossing into Canada .","George , Eliza , and Harry have finally reached Canada and become free .",train,eng,0.97,0.9733463525772095
"I've been a good boss, though, haven't I?","but I was a good boss, right?",train,eng,0.97,0.9800942540168762
We had a great time in Vegas!,We had a blast in Vegas!,train,eng,0.97,0.9823221564292908
It is sometimes referred to as the trunk .,Some people also call it the trunk .,train,eng,0.97,0.9653339982032776
"Yes, I am a girl and I like video games.",and yes i am a girl who likes video games.,train,eng,0.97,0.9819439649581909
I have just learned that I am pregnant and I am blaming you.,I just found out I am pregnant and it is your fault!!!,train,eng,0.97,0.9639420509338379
"It matters tremendously to you, this, doesn't it?","it's very important to you, isn't it?",train,eng,0.97,0.9702717661857605
"John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'",John Schneider has aged very well...i loved him on The Dukes of Hazzard!,train,eng,0.97,0.9834364056587219
"Also, men mature later then women.","Also, men mature later than woman.",train,eng,0.97,0.9978787302970886
It makes it worse that no one will just say it.,it's just worse if nobody just says it.,train,eng,0.97,0.9647083878517151
"Then, in twenty minutes, gather at the runway.","gathering on the runway, in 20 minutes.",train,eng,0.97,0.9733191132545471
It is still up in the air.,it is still a toss up..,train,eng,0.97,0.8856329917907715
Yes I remember that it was very good.,Yea I remember it..it was pretty good,train,eng,0.97,0.9521334171295166
"If they ask for money, tell them no. No agent should be paid until you have received the work.","(if they ask for money, you say no.... no agent gets paid until you have gotten work.",train,eng,0.97,0.9637607336044312
And there are large numbers of these cells making up the nervous system.,the nervous system is comprised of a huge number of cells.,train,eng,0.97,0.9236001968383789
That song will be played by guys to their girl friends.,And guys will play that song for their girlfriend or something.,train,eng,0.97,0.9195007681846619
Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,train,eng,0.97,0.974904477596283
I enjoy when the Underdog wins.,I like when the underdog wins.,train,eng,0.97,0.9911460876464844
Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,train,eng,0.97,0.9699026346206665
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,train,eng,0.97,0.9754592180252075
The study of these creatures has been my life's work.,I've spent my entire life studying these creatures.,train,eng,0.97,0.9655684232711792
The man is eating.,A man is eating food.,train,eng,0.97,0.9860418438911438
"The blind man said, ""I see,"" as he picked up his hammer and saw.","I see, said the blind man, as he picked up his hammer and saw.",train,eng,0.97,0.9635180234909058
The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,train,eng,0.97,0.9957858920097351
Greyhound does a good job at transporting people to different places.,Greyhound is pretty good at getting you places you need to go.,train,eng,0.97,0.9640201330184937
"He kept the gun raised, and although it was shaking, it was still pointing in David's direction.","the gun was still pointed, and though his hand was trembling, he was aiming virtually permanently at David.",train,eng,0.97,0.9552779793739319
The number of my father's friends amazes me.,I'm surprised how many friends my father had.,train,eng,0.97,0.9657649397850037
I very much enjoy Billy Talent. They are one of my favorite groups.,"I just love Billy Talent, they are one of my favourites.",train,eng,0.97,0.9520511031150818
Two women posing with a baby.,Two smiling women holding a baby.,train,eng,0.94,0.9426510334014893
"Best of luck completing your task. If you get the answer right, you can earn 5 more points.",Good Luck and it would be worth another 5 points if you get your answer right?,train,eng,0.94,0.9636661410331726
"Their address is: 47483 Conneticut Dr, Nashville.",they live on 47483 conneticuit drive in nashville,train,eng,0.94,0.9236775636672974
He claims to desire a pair of sunglasses.,He says he wants a pair of sunglasses!,train,eng,0.94,0.9669142961502075
"Keep searching in different areas. There are decent, enjoyable women out there.","keep looking in different places, there are decent, fun, women out there...",train,eng,0.94,0.9547083973884583
I was supposed to go to the movies and go-kart racing on my prom night.,on my prom night i was supposed to go to the movies and go go kart racing!,train,eng,0.94,0.9802255034446716
"Close up, the shale pieces looks rather lovely.",close-up pieces of shale look quite nice.,train,eng,0.94,0.9814860224723816
About 60 Crushed to Death in Ivory Coast Stampede,61 dead in Ivory Coast stampede,train,eng,0.94,0.965149998664856
Not any more than any other female.,No more than any other girl !,train,eng,0.94,0.9617459177970886
"I disagree, I love ER and Wildfire!","No, I love ER.. and Wildfire!",train,eng,0.94,0.973518967628479
Coldplay is becoming popular really quickly.,coldplay is really coming up fast!,train,eng,0.94,0.9362455606460571
"The sequel , Pikmin 2 , was released in 2004 .",Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well .,train,eng,0.94,0.9665756225585938
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,train,eng,0.94,0.9939700365066528
Jamun trees start flowering from March to April .,The Jamun tree starts flowering in March-April .,train,eng,0.94,0.9912294149398804
Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .,Cottontail rabbits do not get the disease myxomatosis as easily as European rabbits .,train,eng,0.94,0.9571151733398438
Me and my friends used to love getting manicures.,my friends and I loved going out for a manicure.,train,eng,0.94,0.9773147106170654
The second answer was I just went to the toilet and I got a Tampax.,the 2nd answer was : i just went to the toilet and i got a tampax.,train,eng,0.94,0.9797308444976807
Bishan currently has 3 shopping centres .,Bishan has three shopping centers .,train,eng,0.94,0.9907159209251404
"All right, who's ready for some banana-peanut butter pancakes?","okay, who wants banana pancakes with peanut butter?",train,eng,0.94,0.9555690288543701
"I read somewhere, a new movie will be coming out 2008, or next year.",i read somewhere a new movie will be coming out next year or 2008.,train,eng,0.94,0.9936702251434326
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,train,eng,0.94,0.9935160279273987
It might be genetic or he might like dark colored make-up on his nose.,maybe its genetic...or maybe he likes dark makeup on his nose!!!,train,eng,0.94,0.9774143695831299
I like Tess but Jessica is too much of a goody-goody!,"I like Tess,Jessica is to goody goody!",train,eng,0.94,0.9697915315628052
Pittodrie Stadium is a football stadium situated in the Scottish city of Aberdeen .,"Pittodrie Stadium is a stadium in Aberdeen , Scotland .",train,eng,0.94,0.9804720282554626
Do nt feel bad. My son is 31 and still single.,"Dont feel bad, my son is 31 and still single.",train,eng,0.94,0.9821158647537231
A good website to resell your books is half.com.,half.com is a great website to sell your books!,train,eng,0.94,0.9669524431228638
"Flowers, normally roses, and a box of candy.",flowers normally roses and a thing of candy!,train,eng,0.94,0.9145060777664185
I'm going to get you safely out of Rome.,I'll take you from Rome to safety.,train,eng,0.94,0.9864861965179443
"Well, here's a slipknot site www.Pulseofthemaggots.com.",um well here is a slipknot site www.pulseofthemaggots.com !!,train,eng,0.94,0.9905965924263
Your questions do not make any sence.,your questions dont make no sense!!!!!!,train,eng,0.94,0.9584009647369385
"It depends, do you really want to meet him?",it depends if you really want to meet him.,train,eng,0.94,0.981965184211731
