Text1,Text2,Type,Lang,Scores
"It that happens, just pull the plug.","if that ever happens, just pull the plug.",train,eng,1.0
A black dog running through water.,A black dog is running through some water.,train,eng,1.0
I've been searchingthe entire abbey for you.,I'm looking for you all over the abbey.,train,eng,1.0
"If he is good looking and has a good personality, he might be straight - but is more likely bisexual.","If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.",train,eng,1.0
"She does not hate you, she is just annoyed with you.","She doesn't hate you, she is just annoyed.",train,eng,1.0
Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,train,eng,1.0
"No, I really didn't want New York to win.",No i didn't want New york to win,train,eng,1.0
I hae no problems with them.,lol i have no problems with them.,train,eng,1.0
"Your parents do not have to like your boyfriend, you do.","your parents dont have to like your bf, you do.",train,eng,1.0
"I think Taylor is really cute, but I hate his voice.",I think Taylor is SUPER cute...but I hate his voice.,train,eng,1.0
A light brown dog runs down a path happily.,A pale dog runs down a path.,train,eng,1.0
The four year old in your trunk.,The 4 Year old in your trunk,train,eng,1.0
"You might find out later, that you lost the perfect one.",u might find out later you lost the perfect one.,train,eng,1.0
"If she mentioned that she just wants to be friends, then it's too late.",If she has said she just wants to be friends it is already too late.,train,eng,1.0
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,train,eng,1.0
Guys can be weird. I should know.,Guys can be wierd; I should know.,train,eng,1.0
A brown dog is jumping.,A brown dog is jumping,train,eng,1.0
Fritz Laband was a German footballer .,Fritz Laband is a former German football player .,train,eng,1.0
Do not believe this guy for an instant.,Don't believe this guy for an instant.,train,eng,1.0
Especially if you really like him and know he is shy.,especially if you really like him and know he's shy.,train,eng,1.0
A man at a farmers market.,A man is at a farmers market.,train,eng,1.0
The population was 517 at the 2000 census .,The population is 517 people as of 2000 .,train,eng,1.0
"Breathe deeply, make the most of the air.","take a deep breath, let the air flow in.",train,eng,1.0
"If you happen to see me before I return, please remind me to wait.",If you should see me before I get back...please ask me to wait.,train,eng,1.0
Why have you not yet told them?,Why haven't you told them yet?,train,eng,1.0
I'm more comfortable when it is raining.,i'm actually more comfortable when it's raining.,train,eng,1.0
The Romans had a special kind of enclosure known as glirarium used to rear dormice for the table .,The Romans had a special place to keep dormice which was called a glirarium .,train,eng,0.97
It's leo's and I don't like leo.,it's leo's.......... :( i hate leo.,train,eng,0.97
Because Pittsburgh is wonderful and everyone wishes they could live there.,because pittsburgh is awesome and everyone wishes they lived there!,train,eng,0.97
"When I tried again, I was able to juggle.","When i went back to it, i was able to juggle!",train,eng,0.97
"Have you ever watched the movie ""Robin Hood:Prince of Thieves""?",ever watched the movie 'Robin Hood; Prince of Thieves'?,train,eng,0.97
i was kidding about the gilligans baby thing...promise!,I was kidding about the gilligants baby thing.,train,eng,0.97
Two dogs are peeing at a red fire hydrant.,Two dogs are urinating on the red fire hydrant.,train,eng,0.97
I had a big breakthrough on that skirt I was working on.,I've made some progress with the skirt I'm working on.,train,eng,0.97
The population was 127 at the 2000 census .,The population is 127 people as of 2000 .,train,eng,0.97
"Do not fall for a girl, rather, let girls fall for you.",P.S : Dont fall for a girl.. let girls fall for you!!,train,eng,0.97
It was supposed to be such a great moment for me as a dad.,"for me as a father, it should have been an amazing moment.",train,eng,0.97
"George , Eliza , and Harry have also obtained their freedom after crossing into Canada .","George , Eliza , and Harry have finally reached Canada and become free .",train,eng,0.97
"I've been a good boss, though, haven't I?","but I was a good boss, right?",train,eng,0.97
We had a great time in Vegas!,We had a blast in Vegas!,train,eng,0.97
It is sometimes referred to as the trunk .,Some people also call it the trunk .,train,eng,0.97
"Yes, I am a girl and I like video games.",and yes i am a girl who likes video games.,train,eng,0.97
I have just learned that I am pregnant and I am blaming you.,I just found out I am pregnant and it is your fault!!!,train,eng,0.97
"It matters tremendously to you, this, doesn't it?","it's very important to you, isn't it?",train,eng,0.97
"John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'",John Schneider has aged very well...i loved him on The Dukes of Hazzard!,train,eng,0.97
"Also, men mature later then women.","Also, men mature later than woman.",train,eng,0.97
It makes it worse that no one will just say it.,it's just worse if nobody just says it.,train,eng,0.97
"Then, in twenty minutes, gather at the runway.","gathering on the runway, in 20 minutes.",train,eng,0.97
It is still up in the air.,it is still a toss up..,train,eng,0.97
Yes I remember that it was very good.,Yea I remember it..it was pretty good,train,eng,0.97
"If they ask for money, tell them no. No agent should be paid until you have received the work.","(if they ask for money, you say no.... no agent gets paid until you have gotten work.",train,eng,0.97
And there are large numbers of these cells making up the nervous system.,the nervous system is comprised of a huge number of cells.,train,eng,0.97
That song will be played by guys to their girl friends.,And guys will play that song for their girlfriend or something.,train,eng,0.97
Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,train,eng,0.97
I enjoy when the Underdog wins.,I like when the underdog wins.,train,eng,0.97
Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,train,eng,0.97
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,train,eng,0.97
The study of these creatures has been my life's work.,I've spent my entire life studying these creatures.,train,eng,0.97
The man is eating.,A man is eating food.,train,eng,0.97
"The blind man said, ""I see,"" as he picked up his hammer and saw.","I see, said the blind man, as he picked up his hammer and saw.",train,eng,0.97
The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,train,eng,0.97
Greyhound does a good job at transporting people to different places.,Greyhound is pretty good at getting you places you need to go.,train,eng,0.97
"He kept the gun raised, and although it was shaking, it was still pointing in David's direction.","the gun was still pointed, and though his hand was trembling, he was aiming virtually permanently at David.",train,eng,0.97
The number of my father's friends amazes me.,I'm surprised how many friends my father had.,train,eng,0.97
